alpha3,english_name,icelandic_name
act,Achterhoeks,akterhókska
afr,Afrikaans,afríkanska
aln,Gheg Albanian,gheg-albanska
als,Tosk Albanian,tosk-albanska
amh,Amharic,amharíska
ara,Arabic,arabíska
arg,Aragonese,aragónska
ast,Asturian,astúríska
aym,Aymara,aímara
azb,South Azerbaijani,suðuraserska
aze,Azerbaijani,aserska
azj,North Azerbaijani,norðuraserska
bar,Bavarian,bæverska
bel,Belarusian,hvítrússneska
ben,Bengali,bengalska
bgx,Balkan Gagauz Turkish,balkantyrkneska
bis,Bislama,bíslama
bos,Bosnian,bosníska
bre,Breton,bretónska
bul,Bulgarian,búlgarska
cat,Catalan,katalónska
ces,Czech,tékkneska
che,Chechen,téténska
ckb,Central Kurdish,miðkúrdíska
cmn,Mandarin Chinese,mandarínkínverska
con,Cofán,kofanska
cos,Corsican,korsíska
crh,Crimean Tatar,krímtatarska
crs,Seselwa Creole French,seychelleseyska
cym,Welsh,velska
dan,Danish,danska
deu,German,þýska
div,Dhivehi,maldívska
drt,Drents,drentíska
dsl,Danish Sign Language,danskt táknmál
dzo,Dzongkha,bútanska
ekk,Standard Estonian,stöðluð eistneska
ell,Modern Greek (1453-),gríska
eng,English,enska
epo,Esperanto,esperantó
est,Estonian,eistneska
eus,Basque,baskneska
fao,Faroese,færeyska
fas,Persian,persneska
fij,Fijian,fídjíska
fil,Filipino,filippseyska
fin,Finnish,finnska
fit,Tornedalen Finnish,tornedalsfinnska
fra,French,franska
frp,Arpitan,arpítanska
frr,Northern Frisian,norðurfrísneska
frs,Eastern Frisian,austurfrísneska
fry,Western Frisian,vesturfrísneska
fse,Finnish Sign Language,finnskt táknmál
gag,Gagauz,gagásíska
gil,Gilbertese,kíribatíska
gla,Scottish Gaelic,skosk gelíska
gle,Irish,írska
glg,Galician,galisíska
glv,Manx,manx
gos,Gronings,gróningska
grn,Guarani,gvaraníska
gug,Paraguayan Guaraní,paragvæsk gvaraníska
hat,Haitian,haítíska
